Cement (kg/m3 ),Sand (kg/m3 ),Gravel (kg/m3 ),admixture kg/m3,SP kg/m3,water  kg/m3 ,VMA kg/m3,fc' 28 days
330.85,857.57,739.44,0,6.02,180.05,0.97,57.3
331.33,840,739.44,0,6.08,180.38,1.03,63.8
330.36,875.16,754.18,0,6.08,180.05,1.03,61.3
330.85,857.57,754.18,0,5.97,180.38,0.92,50.45
331.33,840,754.18,0,6.02,179.74,0.97,53.1
330.85,875.16,768.88,0,6.02,180.38,1.03,61.1
331.33,857.57,768.88,0,6.08,179.74,0.92,55.9
330.36,840,768.88,0,5.97,180.05,0.97,55.3
331.33,875.16,739.44,0,6.02,180.05,0.92,57.3
330.36,857.57,739.44,0,6.08,180.38,0.97,65.6
330.85,840,739.44,0,5.97,179.74,1.03,53.6
330.85,875.16,754.18,0,6.08,179.74,0.97,52.9
331.33,857.57,754.18,0,5.97,180.05,1.03,47.3
330.36,840,754.18,0,6.02,180.38,0.92,59.26
331.33,875.16,768.88,0,5.97,180.38,0.97,51.53
330.36,857.57,768.88,0,6.02,179.74,1.03,56.6
330.85,840,768.88,0,6.08,180.05,0.92,58.45
540,900,750,0,12,200,0,78.05
420,900,750,0,12,192,0,79.19
570,900,750,30,12,200,0,80.42
540,900,750,60,12,192,0,79.18
540,900,750,0,12,209,0,77.82
510,900,750,0,12,209,0,77.15
360,900,750,60,12,200,0,70.67
360,900,750,0,12,200,0,73.7
407,815,761,0,7.5,181,0,70.4
428,788,736,0,7.9,188,0,74.5
438,774,723,0,8.1,191,0,69.5
458,748,698,0,8.4,190,0,68.2
350,900,600,150,7.35,175,0,48.88
300,900,600,200,6.21,175,0,42.23
250,900,600,250,5,175,0,35.14
500,967,639,0,6.75,173.5,0,62.2
350,939,621,0,6.75,173.5,0,57.3
300,927,613,0,6.75,175.5,0,59.1
250,920,608,0,6.75,173.9,0,40.8
200,912,603,0,6.75,173.5,0,38.1
150,902,597,0,6.75,173.5,0,34.4
350,937,620,0,6.75,169,0,52.4
300,935,618,0,6.75,162,0,52.3
250,941,622,0,6.75,149.5,0,47.5
200,929,614,0,6.75,149.5,0,39.9
150,927,613,0,6.75,142.8,0,32.8
467,865,762,0,8.53,182,0,74.2
412,887,752,0,8.25,182,0,73.4
357,878,742,0,7.98,182,0,67.5
440,866,775,0,9.35,182,0,77.9
330,863,772,0,9.08,182,0,74.8
220,861,769,0,8.8,182,0,71.6
495,866,775,0,9.08,182,0,69.3
440,863,771,0,8.8,182,0,65.2
385,860,768,0,8.53,182,0,60.2
377,861,562,0,3.7,227,0,56.1
376,886,577,0,6.5,203,0,49.7
377,898,593,0,7.9,181,0,46.8
376,932,609,0,9,158,0,42.8
377,963,630,0,13,140,0,36.3
290,913,837,0,2.32,130.5,0,42.7
250,478,837,0,1.25,137.5,0,17
210,910,837,0,1.68,136.5,0,19.1
250,742,837,0,1.25,137.5,0,24.1
210,786,837,0,1.68,94.5,0,26.7
290,709,837,0,0.58,188.5,0,26.6
